Epoch	Accuracy	Loss
1	0.5047	0.8998
2	0.5087	0.8982
3	0.5124	0.8973
4	0.5171	0.8931
5	0.5178	0.8914
6	0.5227	0.8909
7	0.5232	0.8860
8	0.5233	0.8850
9	0.5271	0.8849
10	0.5288	0.8801
11	0.5310	0.8752
12	0.5350	0.8729
13	0.5390	0.8721
14	0.5411	0.8679
15	0.5431	0.8668
16	0.5444	0.8627
17	0.5463	0.8619
18	0.5467	0.8606
19	0.5488	0.8592
20	0.5506	0.8544
21	0.5548	0.8532
22	0.5592	0.8495
23	0.5599	0.8449
24	0.5621	0.8425
25	0.5632	0.8407
26	0.5653	0.8385
27	0.5701	0.8372
28	0.5710	0.8351
29	0.5735	0.8332
30	0.5773	0.8327
31	0.5800	0.8284
32	0.5827	0.8283
33	0.5830	0.8249
34	0.5834	0.8241
35	0.5872	0.8192
36	0.5915	0.8187
37	0.5943	0.8166
38	0.5965	0.8145
39	0.5993	0.8137
40	0.6042	0.8094
41	0.6055	0.8083
42	0.6078	0.8078
43	0.6087	0.8055
44	0.6090	0.8033
45	0.6119	0.8011
46	0.6167	0.7978
47	0.6183	0.7945
48	0.6185	0.7937
49	0.6189	0.7913
50	0.6197	0.7900
51	0.6221	0.7894
52	0.6235	0.7887
53	0.6245	0.7857
54	0.6269	0.7825
55	0.6315	0.7810
56	0.6327	0.7787
57	0.6328	0.7762
58	0.6355	0.7744
59	0.6366	0.7738
60	0.6412	0.7730
61	0.6420	0.7687
62	0.6421	0.7669
63	0.6469	0.7622
64	0.6503	0.7580
65	0.6550	0.7576
66	0.6555	0.7565
67	0.6573	0.7539
68	0.6622	0.7490
69	0.6626	0.7487
70	0.6650	0.7470
71	0.6695	0.7447
72	0.6712	0.7415
73	0.6716	0.7393
74	0.6719	0.7343
75	0.6758	0.7335
76	0.6786	0.7322
77	0.6817	0.7283
78	0.6862	0.7247
79	0.6900	0.7207
80	0.6921	0.7201
81	0.6945	0.7165
82	0.6995	0.7153
83	0.7040	0.7110
84	0.7076	0.7108
85	0.7077	0.7095
86	0.7104	0.7052
87	0.7130	0.7038
88	0.7178	0.6989
89	0.7222	0.6962
90	0.7244	0.6933
91	0.7261	0.6925
92	0.7305	0.6906
93	0.7329	0.6874
94	0.7379	0.6849
95	0.7415	0.6818
96	0.7416	0.6784
97	0.7424	0.6769
98	0.7467	0.6728
99	0.7489	0.6686
100	0.7534	0.6676
